Peek Lid Scan 

Barcode Fluorometer 1: 10164802459125008321372; 
Barcode Fluorometer 2: 20163102452123308261375; 

SystemTime; Bank No;	Well No;	Color;	RFU;	Time;	CycleNo; 
2020-06-19   13:24:33 ;	0;	29;	4;	1192;0;	0; 
2020-06-19   13:24:33 ;	0;	59;	4;	1171;0;	0; 
2020-06-19   13:24:33 ;	0;	21;	0;	27110;0;	0; 
2020-06-19   13:24:33 ;	0;	51;	0;	27116;0;	0; 
2020-06-19   13:24:33 ;	0;	7;	1;	3351;0;	0; 
2020-06-19   13:24:33 ;	0;	37;	1;	3315;0;	0; 
2020-06-19   13:24:33 ;	0;	5;	2;	1154;0;	0; 
2020-06-19   13:24:33 ;	0;	35;	2;	1205;0;	0; 
2020-06-19   13:24:33 ;	0;	20;	3;	745;0;	0; 
2020-06-19   13:24:33 ;	0;	50;	3;	807;0;	0; 
2020-06-19   13:24:33 ;	0;	30;	4;	1134;0;	0; 
2020-06-19   13:24:33 ;	0;	60;	4;	1103;0;	0; 
2020-06-19   13:24:34 ;	0;	22;	0;	24939;0;	0; 
2020-06-19   13:24:34 ;	0;	52;	0;	26443;0;	0; 
2020-06-19   13:24:34 ;	0;	6;	1;	3387;0;	0; 
2020-06-19   13:24:34 ;	0;	36;	1;	3310;0;	0; 
2020-06-19   13:24:34 ;	0;	4;	2;	1177;0;	0; 
2020-06-19   13:24:34 ;	0;	34;	2;	1237;0;	0; 
2020-06-19   13:24:34 ;	0;	15;	3;	788;0;	0; 
2020-06-19   13:24:34 ;	0;	45;	3;	774;0;	0; 
2020-06-19   13:24:34 ;	0;	18;	4;	1176;0;	0; 
2020-06-19   13:24:34 ;	0;	48;	4;	1194;0;	0; 
2020-06-19   13:24:34 ;	0;	26;	0;	26516;0;	0; 
2020-06-19   13:24:34 ;	0;	12;	1;	3692;0;	0; 
2020-06-19   13:24:34 ;	0;	3;	2;	1167;0;	0; 
2020-06-19   13:24:34 ;	0;	56;	0;	24008;0;	0; 
2020-06-19   13:24:34 ;	0;	19;	3;	762;0;	0; 
2020-06-19   13:24:34 ;	0;	42;	1;	3270;0;	0; 
2020-06-19   13:24:34 ;	0;	23;	4;	1279;0;	0; 
2020-06-19   13:24:34 ;	0;	33;	2;	1175;0;	0; 
2020-06-19   13:24:34 ;	0;	49;	3;	750;0;	0; 
2020-06-19   13:24:34 ;	0;	53;	4;	1299;0;	0; 
2020-06-19   13:24:34 ;	0;	28;	0;	27466;0;	0; 
2020-06-19   13:24:34 ;	0;	58;	0;	26714;0;	0; 
2020-06-19   13:24:34 ;	0;	11;	1;	3384;0;	0; 
2020-06-19   13:24:34 ;	0;	41;	1;	2885;0;	0; 
2020-06-19   13:24:34 ;	0;	2;	2;	1184;0;	0; 
2020-06-19   13:24:34 ;	0;	32;	2;	1146;0;	0; 
2020-06-19   13:24:34 ;	0;	10;	3;	764;0;	0; 
2020-06-19   13:24:34 ;	0;	40;	3;	742;0;	0; 
2020-06-19   13:24:34 ;	0;	24;	4;	1239;0;	0; 
2020-06-19   13:24:34 ;	0;	54;	4;	1228;0;	0; 
2020-06-19   13:24:34 ;	0;	27;	0;	21979;0;	0; 
2020-06-19   13:24:35 ;	0;	57;	0;	26289;0;	0; 
2020-06-19   13:24:35 ;	0;	16;	1;	3229;0;	0; 
2020-06-19   13:24:35 ;	0;	46;	1;	3433;0;	0; 
2020-06-19   13:24:35 ;	0;	13;	2;	1128;0;	0; 
2020-06-19   13:24:35 ;	0;	43;	2;	1245;0;	0; 
2020-06-19   13:24:35 ;	0;	9;	3;	793;0;	0; 
2020-06-19   13:24:35 ;	0;	39;	3;	782;0;	0; 
2020-06-19   13:24:35 ;	0;	25;	4;	1168;0;	0; 
2020-06-19   13:24:35 ;	0;	55;	4;	1149;0;	0; 
2020-06-19   13:24:35 ;	0;	29;	0;	26607;0;	0; 
2020-06-19   13:24:35 ;	0;	59;	0;	25427;0;	0; 
2020-06-19   13:24:35 ;	0;	17;	1;	3005;0;	0; 
